City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,eyl,7.9803,49.8164,26.460000000000036,62,88,12.67,SO,1690237068
66,prince rupert,54.3161,-130.3201,14.830000000000041,91,100,4.12,CA,1690237001
67,ilulissat,69.2167,-51.1,8.010000000000048,81,75,2.57,GL,1690237068
68,tura,25.5198,90.2201,23.55000000000001,96,99,2.59,IN,1690237068
69,marksville,31.128,-92.0662,35.48000000000002,26,0,2.43,US,1690237068
70,kalkaman,51.9525,76.0211,19.57000000000005,51,19,2.6,KZ,1690237068
71,tufanbeyli,38.2633,36.2206,15.07000000000005,82,1,3.38,TR,1690237068
72,atafu village,-8.5421,-172.5159,29.090000000000032,69,33,8.19,TK,1690237068
73,albany,42.6001,-73.9662,25.879999999999995,75,62,2.93,US,1690237069
74,whitehorse,60.7161,-135.0538,23.189999999999998,40,74,1.46,CA,1690236466
75,hami,42.8,93.45,26.5,25,0,4.05,CN,1690237069
76,codrington,-38.2667,141.9667,8.78000000000003,81,90,2.71,AU,1690237069
77,tazovsky,67.4667,78.7,13.770000000000039,94,57,2.64,RU,1690237069
78,conceicao do araguaia,-8.2578,-49.2647,27.170000000000016,36,5,0.44,BR,1690237069
79,waitangi,-43.9535,-176.5597,12.120000000000005,98,100,0.89,NZ,1690237069
80,garoowe,8.4054,48.4845,25.25,59,56,13.09,SO,1690237069
81,dudinka,69.4058,86.1778,11.460000000000036,69,63,3.6,RU,1690237070
82,constitucion,-35.3333,-72.4167,11.510000000000048,69,34,0.32,CL,1690237070
83,launceston,-41.45,147.1667,5.080000000000041,96,100,0.45,AU,1690237070
84,gadzhiyevo,69.2551,33.3362,9.04000000000002,96,100,5.2,RU,1690237070
85,fort st. john,56.2499,-120.8529,17.939999999999998,63,100,2.57,CA,1690237070
86,badger,64.8,-147.5333,29.430000000000007,49,40,2.06,US,1690237070
87,skovorodino,53.9833,123.9167,17.79000000000002,92,76,0.59,RU,1690237071
88,traralgon,-38.1833,146.5333,7.170000000000016,97,92,1.02,AU,1690236841
89,keflavik,64.0049,-22.5624,11.950000000000045,82,100,2.57,IS,1690237071
90,kegeyli shahar,42.7767,59.6078,28.05000000000001,21,5,3.3,UZ,1690237071
91,san luis,-33.295,-66.3356,11.379999999999995,38,0,1.05,AR,1690237065
92,puerto baquerizo moreno,-0.9,-89.6,26.55000000000001,78,20,4.63,EC,1690237071
93,kurumkan,54.3,110.3,16.900000000000034,86,93,0.19,RU,1690237071
94,alamogordo,32.8995,-105.9603,38.450000000000045,18,0,5.14,US,1690236856
95,papatowai,-46.5619,169.4708,8.189999999999998,83,89,2.81,NZ,1690237072
96,luanda,-8.8368,13.2343,19.840000000000032,93,24,2.95,AO,1690236990
97,sooke,48.3746,-123.7276,18.58000000000004,88,100,6.69,CA,1690237072
98,palangkaraya,-2.2,113.8333,21.760000000000048,99,59,1.24,ID,1690237072
99,anadyr,64.75,177.4833,12.28000000000003,81,75,6.71,RU,1690237072
100,tolanaro,-25.0319,46.9987,18.510000000000048,89,87,3.01,MG,1690237072
101,villa gesell,-37.2639,-56.973,6.7000000000000455,72,74,4.08,AR,1690237072
102,stanley,54.868,-1.6985,11.550000000000011,88,100,1.08,GB,1690237072
103,barcelos,41.5388,-8.6151,17.689999999999998,91,17,2.9,PT,1690236815
104,kununurra,-15.7667,128.7333,13.990000000000009,41,6,5.14,AU,1690237073
105,port augusta,-32.5,137.7667,7.0400000000000205,88,0,2.33,AU,1690237073
106,mpophomeni,-29.5682,30.1862,6.900000000000034,83,98,0.79,ZA,1690237073
107,hilo,19.7297,-155.09,34.04000000000002,69,100,5.14,US,1690237073
108,college,64.8569,-147.8028,29.480000000000018,46,40,2.06,US,1690237073
109,west island,-12.1568,96.8225,24.99000000000001,73,100,8.75,CC,1690237074
110,qoryooley,1.7878,44.53,23.33000000000004,84,67,5.89,SO,1690237074
111,trinidad,-14.8333,-64.9,30.99000000000001,48,20,2.06,BO,1690237074
112,fale old settlement,-9.3852,-171.2468,28.79000000000002,72,6,7.51,TK,1690237074
113,igarka,67.4667,86.5833,14.57000000000005,81,52,2.67,RU,1690237074
114,gaiman,-43.2897,-65.4929,6.930000000000007,59,62,9.74,AR,1690237074
115,lebu,-37.6167,-73.65,10.939999999999998,94,100,8.32,CL,1690237074
116,sitka,57.0531,-135.33,18.939999999999998,68,0,2.57,US,1690237075
117,saldanha,-33.0117,17.9442,9.830000000000041,75,0,3.44,ZA,1690237075
118,port lincoln,-34.7333,135.8667,12.120000000000005,76,76,4.04,AU,1690237075
119,hawaiian paradise park,19.5933,-154.9731,27.730000000000018,87,100,5.14,US,1690237075
120,vorkuta,67.5,64.0,15.980000000000018,74,96,1.27,RU,1690237075
121,murakami,38.2333,139.4833,27.939999999999998,74,11,1.04,JP,1690237075
122,port elizabeth,-33.918,25.5701,8.160000000000025,87,0,3.09,ZA,1690237075
123,brejo,-3.6844,-42.7503,28.410000000000025,59,56,3.69,BR,1690237075
124,uchaly,54.2996,59.4521,14.310000000000002,71,79,1.61,RU,1690237076
125,champerico,14.3,-91.9167,32.30000000000001,65,99,2.55,GT,1690237076
126,shingu,33.7333,135.9833,26.05000000000001,75,0,0.83,JP,1690237076
127,coahuayana de hidalgo,18.7,-103.6583,30.370000000000005,66,100,2.01,MX,1690237077
128,sinop,41.7711,34.8709,15.140000000000043,83,0,2.01,TR,1690237077
129,fortuna,40.5982,-124.1573,24.960000000000036,68,20,7.2,US,1690237065
130,kidal,18.4411,1.4078,35.960000000000036,27,82,5.25,ML,1690237078
131,charters towers,-20.1,146.2667,13.07000000000005,83,58,4.09,AU,1690237078
132,loen,7.7601,168.2307,27.920000000000016,81,74,7.66,MH,1690237078
133,new plymouth,-39.0667,174.0833,14.340000000000032,83,24,6.52,NZ,1690237078
134,tsiombe,-25.3,45.4833,16.02000000000004,91,79,2.45,MG,1690237078
135,cururupu,-1.8283,-44.8683,24.49000000000001,85,33,1.53,BR,1690237079
136,new norfolk,-42.7826,147.0587,8.720000000000027,85,99,1.61,AU,1690237079
137,thompson,55.7435,-97.8558,27.090000000000032,32,40,4.12,CA,1690237079
138,sao vicente,-23.9631,-46.3919,26.260000000000048,100,25,0.89,BR,1690237079
139,dowlatabad,32.7998,51.6955,26.82000000000005,14,0,3.09,IR,1690237079
140,egilsstadir,65.2653,-14.3948,5.9500000000000455,93,100,4.63,IS,1690237079
141,aasiaat,68.7098,-52.8699,3.2000000000000455,98,97,2.85,GL,1690237079
142,luganville,-15.5333,167.1667,24.78000000000003,93,99,3.58,VU,1690237079
143,midoun,33.8081,10.9923,32.920000000000016,59,0,8.42,TN,1690237080
144,rongelap,11.1635,166.8941,28.730000000000018,74,89,8.13,MH,1690237080
145,petropavlovsk-kamchatsky,53.0452,158.6483,20.33000000000004,64,20,3.0,RU,1690237080
146,nova sintra,14.8667,-24.7167,22.620000000000005,81,100,7.43,CV,1690237080
147,la ronge,55.1001,-105.2842,27.120000000000005,34,75,3.09,CA,1690237080
148,mogocha,53.7333,119.7667,15.510000000000048,94,98,0.56,RU,1690237080
149,teaca,46.9167,24.5167,18.610000000000014,64,59,2.14,RO,1690237081
150,bubaque,11.2833,-15.8333,27.510000000000048,79,100,5.1,GW,1690237081
151,axim,4.8699,-2.2405,24.689999999999998,90,100,2.35,GH,1690237081
152,broome,42.2506,-75.833,23.32000000000005,90,100,4.12,US,1690237081
153,olonkinbyen,70.9221,-8.7187,4.9500000000000455,93,100,5.86,SJ,1690237081
154,bilibino,68.0546,166.4372,10.490000000000009,89,100,0.34,RU,1690237082
155,bandon,51.7469,-8.7425,13.770000000000039,81,100,2.96,IE,1690237082
156,constantia,44.1833,28.65,22.610000000000014,73,0,7.7,RO,1690237082
157,el bauga,18.262,33.9081,33.97000000000003,14,100,4.62,SD,1690237082
158,moses lake,47.1301,-119.2781,32.379999999999995,23,0,7.2,US,1690237083
159,papao,-17.75,-149.55,29.82000000000005,85,5,10.41,PF,1690236935
160,bowen,-20.0167,148.2333,14.970000000000027,72,18,3.27,AU,1690237083
161,tandlianwala,31.0333,73.1333,31.870000000000005,63,99,2.58,PK,1690237084
162,gisborne,-38.6533,178.0042,11.950000000000045,66,4,2.67,NZ,1690237085
163,matoury,4.8483,-52.3317,24.980000000000018,94,20,0.0,GF,1690237085
164,sinabang,2.4803,96.3801,26.25,80,16,0.49,ID,1690237085
165,juneau,58.3019,-134.4197,17.28000000000003,100,75,5.66,US,1690236864
166,tofol,5.3248,163.0078,29.879999999999995,74,75,3.09,FM,1690237086
167,swift current,50.2834,-107.8014,37.450000000000045,12,0,3.09,CA,1690237086
168,namibe,-15.1961,12.1522,17.590000000000032,85,98,3.17,AO,1690237086
169,kalmunai,7.4167,81.8167,26.910000000000025,76,99,2.13,LK,1690237087
170,iskateley,67.6803,53.1512,15.470000000000027,80,100,3.18,RU,1690237087
171,touros,-5.1989,-35.4608,24.879999999999995,80,12,7.17,BR,1690237087
172,mumford,5.2618,-0.759,24.58000000000004,90,100,3.98,GH,1690237087
173,vila franca do campo,37.7167,-25.4333,22.230000000000018,83,57,1.5,PT,1690237088
174,island harbour,50.724,-1.2758,15.640000000000043,92,97,4.07,GB,1690237088
175,calvinia,-31.4707,19.776,7.100000000000023,37,96,3.22,ZA,1690237088
176,thunder bay,48.4001,-89.3168,23.99000000000001,41,20,5.66,CA,1690237088
177,newman,37.3138,-121.0208,38.19,7,75,1.31,US,1690237089
178,afaahiti,-17.75,-149.2833,28.930000000000007,82,5,8.71,PF,1690237089
179,xilin hot,43.9667,116.0333,18.28000000000003,57,1,2.03,CN,1690237089
180,fort mcmurray,56.7268,-111.381,29.77000000000004,42,0,3.09,CA,1690237089
181,mumbai,19.0144,72.8479,26.99000000000001,94,100,4.12,IN,1690236656
182,salalah,17.0151,54.0924,25.05000000000001,100,100,2.06,OM,1690237090
183,mutsu,41.2894,141.2169,25.710000000000036,77,5,3.43,JP,1690237090
184,kavieng,-2.5744,150.7967,27.120000000000005,82,100,5.46,PG,1690237090
185,mili,6.0815,171.735,28.150000000000034,77,72,5.69,MH,1690237090
186,kirensk,57.7853,108.1119,18.08000000000004,79,72,0.39,RU,1690237091
187,villavicencio,4.142,-73.6266,24.950000000000045,92,78,1.18,CO,1690236853
188,qaqortoq,60.7167,-46.0333,6.060000000000002,91,86,2.15,GL,1690237091
189,villanueva,15.3167,-88.0,31.55000000000001,58,20,8.23,HN,1690237091
190,geraldton,-28.7667,114.6,12.230000000000018,54,75,7.2,AU,1690237091
191,yinchuan,38.4681,106.2731,26.08000000000004,47,49,1.59,CN,1690237066
